candidate,selected_q_threshold,delay_seconds,max_spread,max_overround,min_depth,max_adverse_slippage,fixed_slippage,fraction,selected_folds,avg_validation_return,avg_test_return,pct_positive_test,avg_test_drawdown,avg_test_trades,avg_test_fill_rate
btc2_path_eff,0.85,4,0.04,0.03,100.0,0.015,0.0025,0.01,9,0.021403855719304095,-0.0023253651563690156,0.4444444444444444,0.018582684467383478,19.444444444444443,0.4571427740075922
btc2_path_eff,0.85,8,0.04,0.03,100.0,0.015,0.0025,0.01,7,0.0167598254366589,-0.011373733089835485,0.14285714285714285,0.026319968418044914,17.142857142857142,0.3646717449379374
btc2_path_eff,0.85,4,0.04,0.03,100.0,0.005,0.0025,0.01,4,0.017303208055333086,-0.005785541657229526,0.25,0.027819710970929726,18.5,0.3505485393545095
btc2_path_eff,0.85,4,0.04,0.03,100.0,0.005,0.0025,0.02,3,0.04959048233086164,0.12161145477282442,1.0,0.025372073414602226,16.0,0.3564624920244281
btc2_path_eff,0.85,4,0.04,0.03,100.0,0.015,0.0025,0.02,3,0.05627988669022144,0.014446686806953083,0.6666666666666666,0.03835150164342177,16.666666666666668,0.3907190205246653
btc2_path_eff,0.9,8,0.04,0.03,300.0,0.015,0.0025,0.01,3,0.025324994942254337,0.006183712280856864,0.6666666666666666,0.008091577968077758,13.333333333333334,0.2629718660968661
btc2_path_eff,0.9,4,0.04,0.03,100.0,0.015,0.0025,0.02,3,0.047855173639926786,0.0018288688000433668,0.3333333333333333,0.03303916855926329,18.0,0.5266148012954053
btc2_path_eff,0.85,8,0.04,0.03,300.0,0.015,0.0025,0.01,3,0.013648029314399346,-0.0002796004779396233,0.3333333333333333,0.018314408545347858,15.333333333333334,0.33263687988856744
btc2_path_eff,0.85,4,0.04,0.03,300.0,0.015,0.0025,0.01,3,0.005177785213944667,-0.004248344021629102,0.6666666666666666,0.018815404135627586,15.666666666666666,0.2852367288378766
btc2_path_eff,0.9,4,0.04,0.03,100.0,0.005,0.0025,0.01,3,0.014154759303740697,-0.007797925887828942,0.3333333333333333,0.015522878148017729,12.0,0.27786023500309215
btc2_path_eff,0.85,8,0.04,0.03,100.0,0.015,0.0025,0.02,2,0.07983718023017883,0.016391176561992626,0.5,0.020233307542533607,16.0,0.3645383951682485
btc2_path_eff,0.9,8,0.04,0.03,100.0,0.015,0.0075,0.01,2,0.008650568032633643,0.010866468711608068,0.5,0.005058309037900875,13.0,0.3261933904528764
btc2_path_eff,0.85,8,0.04,0.03,100.0,0.005,0.0075,0.01,2,0.018503505538347453,0.003876313669087972,0.5,0.011644026696635605,20.0,0.4979665071770335
btc2_path_eff,0.9,8,0.04,0.03,100.0,0.015,0.0025,0.02,2,0.05739998660020418,-0.0005659468742804097,0.5,0.029564843951011346,10.0,0.2572233967582805
btc2_path_eff,0.95,4,0.04,0.03,100.0,0.015,0.0025,0.02,2,0.16261336147761107,-0.009631753973018853,0.0,0.02024799734559416,7.5,0.4182692307692308
btc2_path_eff,0.9,8,0.06,0.03,100.0,0.015,0.0025,0.02,2,0.03004181793534655,-0.019764596798642176,0.5,0.044683144301417524,13.0,0.34719387755102044
btc2_path_eff,0.85,4,0.04,0.03,100.0,0.015,0.0075,0.02,1,0.01970888593528075,0.07166335972160165,1.0,0.020352422907488957,20.0,0.47297297297297297
btc2_path_eff,0.9,8,0.04,0.03,100.0,0.005,0.0025,0.02,1,0.01407948877116838,0.02540521577923549,1.0,0.0,10.0,0.17857142857142858
btc2_path_eff,0.85,4,0.04,0.03,300.0,0.015,0.0075,0.01,1,0.021031545805359153,0.0166282409041536,1.0,0.01012232415902136,20.0,0.45
btc2_path_eff,0.85,4,0.04,0.05,100.0,0.015,0.0075,0.01,1,0.012590446022479718,0.015618946186814808,1.0,0.020120196092022993,20.0,0.47368421052631576
btc2_path_eff,0.9,4,0.04,0.03,300.0,0.015,0.0025,0.01,1,0.005377445791332258,0.009761175208355954,1.0,0.0,8.0,0.24242424242424243
btc2_path_eff,0.95,4,0.04,0.03,100.0,0.005,0.0025,0.01,1,0.004141792811497513,0.00818341751784124,1.0,0.0,9.0,0.3333333333333333
btc2_path_eff,0.95,8,0.04,0.03,100.0,0.015,0.0075,0.01,1,-0.004131408933488068,0.007771452933612366,1.0,0.0,11.0,0.34375
btc2_path_eff,0.9,4,0.04,0.05,100.0,0.005,0.0025,0.01,1,0.014867658319194454,0.00482114493333996,1.0,0.010112044817927237,16.0,0.34375
btc2_path_eff,0.85,8,0.04,0.03,300.0,0.005,0.0025,0.01,1,0.008619515141537137,0.001071746602913537,1.0,0.010126182965299688,9.0,0.13043478260869565
btc2_path_eff,0.85,4,0.04,0.03,300.0,0.015,0.0025,0.02,1,0.021197108880215865,0.0009802205533016028,1.0,0.02626757927620909,17.0,0.34065934065934067
btc2_path_eff,0.95,4,0.04,0.03,100.0,0.015,0.0025,0.01,1,-0.0006884919092559061,0.00016043418809053023,1.0,0.010107238605898175,10.0,0.3448275862068966
btc2_path_eff,0.85,4,0.06,0.03,100.0,0.005,0.0075,0.01,1,0.01135215181259519,-0.001211722551502703,0.0,0.01283674675645437,20.0,0.26136363636363635
btc2_path_eff,0.95,8,0.04,0.03,300.0,0.005,0.0025,0.01,1,0.003068232448314001,-0.002828348330264574,0.0,0.010106100795755992,7.0,0.2413793103448276
btc2_path_eff,0.9,4,0.04,0.03,100.0,0.015,0.0075,0.01,1,0.02067245832612663,-0.004957014846008967,0.0,0.017786366831837506,16.0,0.4782608695652174
btc2_path_eff,0.9,4,0.04,0.03,100.0,0.015,0.0025,0.01,1,0.006478674253785899,-0.00532137825705703,0.0,0.02012982982982983,20.0,0.5573770491803278
btc2_path_eff,0.85,8,0.04,0.03,100.0,0.005,0.0025,0.02,1,0.05430693972545009,-0.00719172023267034,0.0,0.05321292473655019,18.0,0.3026315789473684
btc2_path_eff,0.85,4,0.06,0.03,100.0,0.015,0.0025,0.01,1,0.014907156671372768,-0.010823038727248324,0.0,0.0260751258989421,20.0,0.4875
btc2_path_eff,0.85,8,0.04,0.05,100.0,0.015,0.0075,0.01,1,0.03001658169598742,-0.011870065357933779,0.0,0.0333034776468743,19.0,0.4036697247706422
btc2_path_eff,0.85,4,0.04,0.05,100.0,0.015,0.0025,0.01,1,0.01766491384466118,-0.012222676031416135,0.0,0.02558069516317171,20.0,0.47297297297297297
btc2_path_eff,0.85,8,0.04,0.03,100.0,0.005,0.0025,0.01,1,0.011708957010268417,-0.012900726844089161,0.0,0.02018881767017445,15.0,0.2441860465116279
btc2_path_eff,0.9,8,0.04,0.03,100.0,0.015,0.0025,0.01,1,0.0006004219261526167,-0.01573623574914207,0.0,0.02501252297757315,15.0,0.54
btc2_path_eff,0.85,8,0.04,0.03,100.0,0.005,0.0075,0.02,1,0.03719487731021265,-0.018673348956411817,0.0,0.043629765472181656,16.0,0.32142857142857145
btc2_path_eff,0.85,8,0.06,0.03,100.0,0.005,0.0025,0.01,1,0.024830741656270527,-0.0243557324564333,0.0,0.03070967327590957,13.0,0.28205128205128205
btc2_path_eff,0.9,4,0.04,0.03,300.0,0.015,0.0025,0.02,1,0.05631427251597465,-0.028351834263627307,0.0,0.030743966708774415,8.0,0.13114754098360656
btc2_path_eff,0.95,8,0.04,0.03,100.0,0.015,0.0025,0.02,1,0.03496524006189583,-0.05783073397764593,0.0,0.0732379982829861,16.0,0.6
classic_early_drop_down,,4,0.04,0.03,100.0,0.015,0.0025,0.01,12,0.015347185855130804,0.005392859893531277,0.75,0.023068203958770527,17.0,0.4661899583766056
classic_early_drop_down,,8,0.04,0.03,100.0,0.015,0.0025,0.01,9,0.022411872500948313,-0.001374122588432811,0.3333333333333333,0.02770392053369819,15.444444444444445,0.4150222795617969
classic_early_drop_down,,8,0.04,0.03,300.0,0.015,0.0025,0.01,8,0.015004444263050115,0.004571023658848664,0.5,0.020239704090912258,11.125,0.26755528759181596
classic_early_drop_down,,4,0.04,0.03,300.0,0.015,0.0025,0.01,8,0.015252374516168718,0.0038843333190659163,0.625,0.021954241084739586,12.625,0.28722918101784334
classic_early_drop_down,,4,0.04,0.03,100.0,0.005,0.0025,0.01,6,0.018034495339045293,-0.015078843761686481,0.3333333333333333,0.032777202129745435,15.5,0.3528170818735908
classic_early_drop_down,,4,0.04,0.03,300.0,0.005,0.0025,0.01,5,0.015206575680360235,0.020106045806289254,0.8,0.01882906968338225,15.6,0.3265649064504957
classic_early_drop_down,,4,0.06,0.03,100.0,0.015,0.0025,0.01,5,0.014029067583386312,-0.015470993430476598,0.0,0.03480538127177429,18.2,0.4853332002737775
classic_early_drop_down,,4,0.04,0.03,100.0,0.015,0.0025,0.02,4,0.09366626853796273,0.03675902265217362,0.75,0.034913028931747324,14.25,0.36889787361485477
classic_early_drop_down,,8,0.04,0.03,100.0,0.005,0.0025,0.01,4,0.015322809826176786,-0.022541452682769747,0.0,0.03391915545474901,11.25,0.28806151902679455
classic_early_drop_down,,8,0.04,0.03,300.0,0.005,0.0025,0.01,3,0.0038315806450632075,0.0037128332912192232,0.6666666666666666,0.0136275731899033,6.666666666666667,0.15160166630754865
classic_early_drop_down,,8,0.04,0.03,300.0,0.015,0.0025,0.02,2,0.11035112350624776,0.021021476705785136,1.0,0.04997278232846182,14.0,0.3180272108843537
classic_early_drop_down,,8,0.04,0.03,300.0,0.005,0.0025,0.02,2,0.060934153716523665,0.0081521618680504,0.5,0.02785897829250961,9.0,0.22039473684210525
classic_early_drop_down,,4,0.04,0.03,300.0,0.015,0.0025,0.02,2,0.08439108111588411,-0.007462805248143745,0.5,0.0673102314100981,15.5,0.3443119266055046
classic_early_drop_down,,8,0.06,0.03,300.0,0.015,0.0025,0.01,1,0.03522108110757949,0.007326685065736083,1.0,0.010150943396226353,11.0,0.34375
classic_early_drop_down,,4,0.04,0.03,300.0,0.005,0.0075,0.02,1,0.08760163687988931,0.0033628318584071337,1.0,0.0,1.0,0.03225806451612903
